Lid,longitude,latitude,address,zipcode
KovZpZA77lkA-178,-70.81629566,42.84356106,Massachusetts/Salisbury/4 Oceanfront North/time_zone:America/New_York,01952
KovZpZAEAIvA-179,-71.065086,42.3504843,Massachusetts/Boston/246 Tremont St./time_zone:America/New_York,02116
KovZpZAEAdIA-180,-70.811438,42.90703,New Hampshire/Hampton Beach/169 Ocean Blvd/time_zone:America/New_York,03842
KovZpZAJvElA-181,-70.60681813,41.44900337,Massachusetts/Oak Bluffs/100 Edgartown Rd/time_zone:America/New_York,02568
KovZ917AxdQ-182,-71.0617,42.365977,Massachusetts/Boston/110 Causeway Street /time_zone:America/New_York,02114
ZFr9jZA6aA-183,-71.103302,42.363098,Massachusetts/Cambridge/480 Massachusetts Ave/time_zone:America/New_York,02139
Z6r9jZdFve-184,-70.292397,41.660702,Massachusetts/Hyannis/21 W. Main St./time_zone:America/New_York,02601
KovZ917AQ07-185,-70.878915,42.551455,Massachusetts/Beverly/286 Cabot Street/time_zone:America/New_York,01915
ZFr9jZ1eka-188,-71.134697,42.380199,Massachusetts/Cambridge/50 Church Street/time_zone:America/New_York,02138
Z7r9jZadfX-189,-71.068001,42.362099,Massachusetts/Boston/80 BEVERLY STREET/time_zone:America/New_York,02114
KovZpZAEAIvA-190,-71.065086,42.3504843,Massachusetts/Boston/246 Tremont St./time_zone:America/New_York,02116
ZFr9jZ1eka-191,-71.134697,42.380199,Massachusetts/Cambridge/50 Church Street/time_zone:America/New_York,02138
KovZpZAJd6aA-193,-71.109255,42.419637,Massachusetts/Medford/30 Forest Street/time_zone:America/New_York,02115
KovZpZA77lkA-194,-70.81629566,42.84356106,Massachusetts/Salisbury/4 Oceanfront North/time_zone:America/New_York,01952
KovZpZAEAIvA-195,-71.065086,42.3504843,Massachusetts/Boston/246 Tremont St./time_zone:America/New_York,02116
KovZpa4tUe-196,-70.95121002,42.46480942,Massachusetts/Lynn/3 City Hall Sq./time_zone:America/New_York,01901
KovZpa4tUe-198,-70.95121002,42.46480942,Massachusetts/Lynn/3 City Hall Sq./time_zone:America/New_York,01901
KovZpZAEAIeA-200,-69.7978526,44.3418905,Maine/Augusta/76 Community Drive/time_zone:America/New_York,04330
